"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"11";"0.1uF";"C0805";"0805";"C1, C3, C4, C5, C7, C8, C9, C10, C12, C14, C15";"";"";
"1";"0451002";"0451002_MRL6.1_2.69_2.69MM";"FUSC6131X270";"F1";"0451002.MRL - Littelfuse Inc.- FUSE BOARD MNT 2A 125VAC/VDC SMD";"";
"1";"100k";"R-US_R0805";"R0805";"R6";"RESISTOR, American symbol";"";
"1";"100uF";"C1210";"1210";"C11";"";"";
"13";"10K";"R-US_R0805";"R0805";"R2, R3, R4, R5, R7, R8, R9, R10, R11, R12, R14, R15, R16";"RESISTOR, American symbol";"";
"2";"10uF";"C0805";"0805";"C2, C6";"";"";
"1";"10uF";"C1210";"1210";"C13";"";"";
"3";"1N5819HW-7-F";"1N5819HW-7-F";"SOD3715X145N";"D1, D2, D3";"1N5819HW Series 40 V 1 A Surface Mount Schottky Barrier Rectifier - SOD-123";"";
"2";"282836-4";"282836-4";"282836-4_TYC";"J1, J4";"";"";
"3";"60";"R-US_R0805";"R0805";"R13, R17, R18";"RESISTOR, American symbol";"";
"1";"APHBM2012SURKCGKC";"APHBM2012SURKCGKC";"LED_APHBM2012SURKCGKC";"D4";"Green, Red 570nm Green, 630nm Red LED Indication - Discrete 2.1V Green, 1.95V Red 0805 (2012 Metric)";"";
"1";"BU2032SM-HD-G";"BU2032SM-HD-G";"BAT_BU2032SM-HD-G";"BT1";"Batt Holder Smt Coin 20mm Tape Check prices";"";
"1";"DM3CS-SF";"DM3CS-SF";"CONN_3CS-SF";"J3";"";"";
"1";"DS3231MZ";"DS3231MZ+21-0041B_8_MXM-M";"21-0041B_8_MXM-M";"U1";"";"";
"1";"ESP-WROOM-32D";"ESP-WROOM-32";"ESP-WROOM-32";"U3";"Espressif Systems ESP-WROOM-32";"";
"1";"FDV301N";"FDV301N";"SOT23-3_ONS";"Q1";"";"";
"1";"HDR2X4";"HDR2X4";"HDR2X4";"J2";"";"";
"1";"LM1117DTX-3.3";"LM1117DTX-3.3";"TO252";"U4";"";"";
"1";"MAX3232CDRD16-M";"MAX3232CDRD16-M";"D16-M";"U5";"";"";
"3";"OS102011MS2QN1";"OS102011MS2QN1";"SW_OS102011MS2QN1";"S1, S2, S3";"Switch Slide ON ON SPDT Top Slide 0.1A 12VDC 10000Cycles PC Pins Thru-Hole Bulk";"";
"1";"R-78E5.0-1.0";"R-78E5.0-1.0";"CONV_R-78E5.0-1.0";"U2";"1.0 Amp SIP3 Single Output";"";
